Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH
E0,18/08/12,Arsenal,Sunderland,0,0,D,0,0,D,C Foy,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5,1.35,4.6,9,1.35,4.6,9,1.35,4.5,7.3,1.4,4.5,8,1.44,4.76,8.78,1.44
E0,18/08/12,Fulham,Norwich,5,0,H,2,0,H,M Oliver,11,4,9,2,12,11,6,3,0,0,0,0,1.8,3.6,4.5,1.8,3.5,4.4,1.8,3.5,4.4,1.8,3.4,4,1.8,3.5,4.5,1.82,3.81,4.8,1.85
E0,18/08/12,Newcastle,Tottenham,2,1,H,0,0,D,M Atkinson,6,12,4,6,12,8,3,5,2,2,0,0,2.5,3.4,2.75,2.6,3.3,2.75,2.6,3.3,2.75,2.4,3.2,2.7,2.6,3.3,2.7,2.65,3.47,2.82,2.7
E0,18/08/12,QPR,Swansea,0,5,A,0,1,A,L Probert,20,12,11,8,11,14,5,3,2,2,0,0,2,3.4,3.8,2,3.4,3.6,2,3.4,3.6,2.1,3.3,3.1,2,3.4,3.75,2.05,3.53,4.01,2
E0,18/08/12,Reading,Stoke,1,1,D,0,1,A,K Friend,9,6,3,3,9,14,4,3,2,4,0,1,2.38,3.25,3.1,2.4,3.2,3.1,2.4,3.2,3.1,2.4,3.2,2.7,2.4,3.3,2.88,2.4,3.37,3.26,2.4
E0,18/08/12,West Brom,Liverpool,3,0,H,1,0,H,P Dowd,15,14,10,7,10,11,7,3,1,4,0,1,4.2,3.5,1.91,4.1,3.5,1.85,4.1,3.5,1.85,3.3,3.3,2,3.75,3.5,1.95,4.39,3.59,1.94,3.8
E0,18/08/12,West Ham,Aston Villa,1,0,H,1,0,H,M Dean,8,10,4,6,17,8,6,4,0,1,0,0,2.2,3.3,3.4,2.25,3.3,3.3,2.25,3.3,3.3,2.15,3.3,3,2.25,3.3,3.1,2.26,3.49,3.43,2.3
E0,19/08/12,Man City,Southampton,3,2,H,1,0,H,H Webb,20,9,15,6,4,6,7,3,1,2,0,0,1.17,7,17,1.18,6.25,16,1.18,6.25,16,1.17,5.8,13,1.17,7,15,1.2,7.5,19.75,1.2
E0,19/08/12,Wigan,Chelsea,0,2,A,0,2,A,M Jones,12,5,4,3,16,11,7,1,2,2,0,0,6,3.75,1.62,6,3.9,1.55,6,3.9,1.55,5.5,3.9,1.5,6.5,3.8,1.53,6.05,4.02,1.65,5.5
E0,20/08/12,Everton,Man United,1,0,H,0,0,D,A Marriner,16,12,7,7,12,11,6,8,1,2,0,0,4.33,3.6,1.83,4.6,3.5,1.83,4.6,3.5,1.83,3.8,3.4,1.85,4,3.6,1.85,4.27,3.77,1.92,4.33
E0,22/08/12,Chelsea,Reading,4,2,H,1,2,A,L Mason,23,7,11,5,11,14,1,5,0,2,0,0,1.25,5.5,13,1.25,5.25,12.5,1.25,5.25,12.5,1.25,5,10,1.25,6,11,1.27,6.15,13.8,1.29
E0,25/08/12,Aston Villa,Everton,1,3,A,0,3,A,M Oliver,7,19,3,11,10,7,1,9,1,0,1,0,2.9,3.4,2.4,2.95,3.3,2.45,2.95,3.3,2.45,2.5,3.2,2.6,2.75,3.3,2.5,3.14,3.36,2.47,2.88
E0,25/08/12,Chelsea,Newcastle,2,0,H,2,0,H,P Dowd,11,11,6,5,8,10,2,3,1,0,0,0,1.5,4.33,6.5,1.5,4.33,6.5,1.5,4.33,6.5,1.53,3.8,5.5,1.5,4,6.5,1.51,4.5,7.27,1.5
E0,25/08/12,Man United,Fulham,3,2,H,3,1,H,K Friend,20,14,11,11,12,7,8,8,0,1,0,0,1.29,5.5,11,1.28,5.25,10,1.28,5.25,10,1.25,5,10,,,,1.32,5.6,11.85,1.35
E0,25/08/12,Norwich,QPR,1,1,D,1,1,D,M Clattenburg,13,6,4,4,15,14,6,2,0,2,0,0,2.25,3.4,3.2,2.25,3.3,3.1,2.25,3.3,3.1,2.1,3.2,3.2,2.38,3.4,2.88,2.34,3.5,3.25,2.38
E0,25/08/12,Southampton,Wigan,0,2,A,0,0,D,A Taylor,14,12,9,8,11,9,10,3,0,0,0,0,2.1,3.4,3.5,2.05,3.4,3.5,2.05,3.4,3.5,2.1,3.2,3.2,2.1,3.3,3.5,2.2,3.51,3.56,2.15
E0,25/08/12,Swansea,West Ham,3,0,H,2,0,H,M Atkinson,10,7,7,6,13,17,5,4,2,4,0,0,2.1,3.3,3.6,2,3.3,3.75,2,3.3,3.75,2.1,3.2,3.2,2.1,3.25,3.5,2.13,3.43,3.85,2.1
E0,25/08/12,Tottenham,West Brom,1,1,D,0,0,D,M Dean,18,10,10,5,8,7,7,5,1,2,0,0,1.5,4.33,6.5,1.45,4.2,7,1.45,4.2,7,1.45,3.9,6.5,1.5,4,6.5,1.51,4.52,7.35,1.55
E0,26/08/12,Liverpool,Man City,2,2,D,1,0,H,A Marriner,15,11,8,5,10,7,4,4,1,0,0,0,3.1,3.4,2.3,3,3.5,2.35,3,3.5,2.35,2.75,3.2,2.35,3.1,3.3,2.25,3.14,3.46,2.42,2.9
E0,26/08/12,Stoke,Arsenal,0,0,D,0,0,D,L Mason,7,16,4,6,9,9,0,11,2,0,0,0,3.5,3.4,2.1,3.7,3.3,2.1,3.7,3.3,2.1,3.2,3.2,2.1,3.75,3.3,2,3.57,3.46,2.21,3.3
E0,01/09/12,Man City,QPR,3,1,H,1,0,H,C Foy,19,9,12,5,12,3,8,3,2,1,0,0,1.18,7,15,1.18,6.5,14.5,,,,1.2,5.5,12,1.2,6.5,13,1.22,7.65,15,1.2
E0,01/09/12,Swansea,Sunderland,2,2,D,1,2,A,R East,14,4,10,3,11,7,8,0,1,1,1,0,2.2,3.3,3.4,2.2,3.2,3.3,2.2,3.2,3.3,2.2,3.2,3,2.2,3.3,3.3,2.17,3.47,3.67,2.15
E0,01/09/12,Tottenham,Norwich,1,1,D,0,0,D,M Halsey,15,10,9,4,7,12,4,2,1,0,1,0,1.36,5,8.5,1.36,4.75,8,1.36,4.75,8,1.4,4.1,7,1.4,4.5,8,1.38,5.35,9,1.4
E0,01/09/12,West Brom,Everton,2,0,H,0,0,D,J Moss,14,12,8,5,11,15,6,3,1,4,0,0,3,3.3,2.38,2.9,3.25,2.5,2.9,3.25,2.5,2.6,3.2,2.5,2.88,3.3,2.4,3.06,3.38,2.52,2.9
E0,01/09/12,West Ham,Fulham,3,0,H,3,0,H,A Taylor,17,14,12,13,12,5,6,6,0,0,0,0,2.5,3.25,2.88,2.55,3.3,2.8,2.55,3.3,2.8,2.4,3.2,2.7,2.5,3.25,2.8,2.53,3.48,2.96,2.4
E0,01/09/12,Wigan,Stoke,2,2,D,1,1,D,M Atkinson,9,16,5,8,13,11,2,1,1,2,0,0,2.25,3.25,3.3,2.2,3.2,3.3,2.2,3.2,3.3,2.3,3.2,2.8,2.25,3.25,3.25,2.26,3.35,3.57,2.25
E0,02/09/12,Liverpool,Arsenal,0,2,A,0,1,A,H Webb,17,11,8,7,12,7,10,2,2,2,0,0,2,3.5,3.75,2.05,3.4,3.75,2.05,3.4,3.75,2.1,3.2,3.2,2.1,3.2,3.6,2.1,3.54,3.82,2.05
E0,02/09/12,Newcastle,Aston Villa,1,1,D,0,1,A,L Probert,16,13,6,9,6,20,10,6,1,4,0,0,1.62,3.75,6,1.6,3.9,5.25,1.6,3.9,5.25,1.6,3.6,5,1.62,3.75,5.5,1.63,4.08,6.21,1.67
E0,02/09/12,Southampton,Man United,2,3,A,1,1,D,M Dean,15,18,8,9,9,4,4,7,1,0,0,0,6,4.2,1.53,6,4,1.53,6,4,1.53,5.5,3.9,1.5,6.5,4,1.53,6.25,4.48,1.57,5
E0,15/09/12,Arsenal,Southampton,6,1,H,4,1,H,K Friend,20,9,12,4,4,7,8,3,0,0,0,0,1.36,5,8.5,1.34,4.75,8.75,1.34,4.75,8.75,1.33,4.6,7.8,1.36,4.5,9,1.39,5.26,9.09,1.4
E0,15/09/12,Aston Villa,Swansea,2,0,H,1,0,H,L Mason,17,10,13,5,11,4,11,5,3,1,0,0,2.38,3.25,3.1,2.3,3.3,3,2.3,3.3,3,2.3,3.2,2.8,2.25,3.3,3.1,2.44,3.32,3.23,2.4
